"time","Circle_SWC_output_Coords.x","Circle_SWC_output_Coords.y"
0,0.0000000000000000E+000,0.0000000000000000E+000
0.1,5.4000002145767212E-001,8.3999997377395630E-001
0.2,-4.1999998688697815E-001,8.9999997615814209E-001
0.3,-9.9000000953674316E-001,1.4000000059604645E-001
0.4,-6.6000002622604370E-001,-7.5999999046325684E-001
0.5,2.8000000119209290E-001,-9.5999997854232788E-001
0.6,9.5999997854232788E-001,-2.8000000119209290E-001
0.7,7.5000000000000000E-001,6.4999997615814209E-001
0.9,-9.2000001668930054E-001,4.0999999642372131E-001
1,-8.3999997377395630E-001,-5.5000001192092896E-001
1.1,0.0000000000000000E+000,-1.0000000000000000E+000
1.2,8.3999997377395630E-001,-5.4000002145767212E-001
1.3,8.9999997615814209E-001,4.1999998688697815E-001
1.4,1.2999999523162842E-001,9.9000000953674316E-001
1.5,-7.5999999046325684E-001,6.4999997615814209E-001
1.6,-9.5999997854232788E-001,-2.8999999165534973E-001
1.7,-2.8000000119209290E-001,-9.7000002861022949E-001
1.8,6.6000002622604370E-001,-7.5999999046325684E-001
1.9,9.8000001907348633E-001,1.4000000059604645E-001
2,4.0000000596046448E-001,9.1000002622604370E-001
2.1,-5.5000001192092896E-001,8.2999998331069946E-001
2.2,-1.0000000000000000E+000,-9.9999997764825821E-003
2.3,-5.4000002145767212E-001,-8.5000002384185791E-001
2.4,4.1999998688697815E-001,-9.1000002622604370E-001
2.5,9.9000000953674316E-001,-1.4000000059604645E-001
2.6,6.3999998569488525E-001,7.5999999046325684E-001
2.7,-3.0000001192092896E-001,9.4999998807907104E-001
2.8,-9.7000002861022949E-001,2.7000001072883606E-001
2.9,-7.5000000000000000E-001,-6.7000001668930054E-001
3,1.5000000596046448E-001,-9.9000000953674316E-001
3.1,9.1000002622604370E-001,-4.0999999642372131E-001
3.2,8.2999998331069946E-001,5.5000001192092896E-001
3.3,-1.9999999552965164E-002,9.9000000953674316E-001
3.4,-8.5000002384185791E-001,5.1999998092651367E-001
3.5,-9.1000002622604370E-001,-4.3000000715255737E-001
3.6,-1.2999999523162842E-001,-1.0000000000000000E+000
3.7,7.5999999046325684E-001,-6.4999997615814209E-001
3.8,9.4999998807907104E-001,2.8999999165534973E-001
3.9,2.5999999046325684E-001,9.5999997854232788E-001
4,-6.7000001668930054E-001,7.4000000953674316E-001
