"time","room.RAT","room.energy","wall.Tisurf","wall.Tosurf","der(room.RAT)","der(room.energy)","der(wall.Tisurf)","der(wall.Tosurf)","OAT","RAT","fanspeed","room.DT","room.EWT","room.Qin","room.Qout","room.SAT","room.fs","room.mdota","room.mdotw","room.vo","valveopen","wall.C","wall.R","room.Awall","room.LWT","room.RATinit","room.cAir","room.cWater","room.eps","room.hAir","room.mdotat","room.mdotwt","room.rohAir","room.vAir","wall.TisurfInit","wall.TosurfInit","wall.aWall","wall.cWall","wall.hi","wall.ho","wall.lWall","wall.lambda_Wall","wall.rhoWall","room.Tisurf","room.fanspeed","room.valveopen","wall.OAT","wall.RAT","wall.lambdaOut"
0,1.6000000000000000E+001,0.0000000000000000E+000,1.6000000000000000E+001,1.0000000000000000E+001,1.3289036544850503E-006,4.8576000000000008E-001,-8.9025737579729583E-004,-1.1556168100429158E-002,0.0000000000000000E+000,1.6000000000000000E+001,0.0000000000000000E+000,4.8576000000000008E-001,2.8381726859602963E+001,4.8576000000000008E-001,0.0000000000000000E+000,2.5600000000000001E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.6000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000000000000E+001,1.1920000000000000E-001
0.0005,1.6000000000664453E+001,2.4288000000000003E-004,1.5999999554871312E+001,9.9999942219159497E+000,1.3286109587297261E-006,4.8575999998655156E-001,-8.9025802840944396E-004,-1.1556160117496097E-002,0.0000000000000000E+000,1.6000000000664453E+001,0.0000000000000000E+000,4.8565300963269514E-001,2.8381726859924619E+001,4.8575999998655156E-001,1.0699035385641764E-004,2.5600000000398676E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999999554871312E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000000664453E+001,1.1920000000000000E-001
0.001,1.6000000001328758E+001,4.8575999999327579E-004,1.5999999109742298E+001,9.9999884438358908E+000,1.3283182628577795E-006,4.8575999997310604E-001,-8.9025868102089603E-004,-1.1556152134568646E-002,0.0000000000000000E+000,1.6000000001328758E+001,0.0000000000000000E+000,4.8554601922276064E-001,2.8381726860246207E+001,4.8575999997310604E-001,2.1398075034539943E-004,2.5600000000797255E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999999109742298E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000001328758E+001,1.1920000000000000E-001
0.0015,1.6000000001992916E+001,7.2863999997982887E-004,1.5999998664612956E+001,9.9999826657598234E+000,1.3280255668668775E-006,4.8575999995966346E-001,-8.9025933363165118E-004,-1.1556144151646802E-002,0.0000000000000000E+000,1.6000000001992916E+001,0.0000000000000000E+000,4.8543902876934386E-001,2.8381726860567724E+001,4.8575999995966346E-001,3.2097119031959664E-004,2.5600000001195752E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999998664612956E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000001992916E+001,1.1920000000000000E-001
0.002,1.6000000002656929E+001,9.7151999995966055E-004,1.5999998219483290E+001,9.9999768876877475E+000,1.3277328707581864E-006,4.8575999994622382E-001,-8.9025998624171006E-004,-1.1556136168730568E-002,0.0000000000000000E+000,1.6000000002656929E+001,0.0000000000000000E+000,4.8533203827287114E-001,2.8381726860889167E+001,4.8575999994622382E-001,4.2796167335268365E-004,2.5600000001594161E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999998219483290E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000002656929E+001,1.1920000000000000E-001
0.0025,1.6000000003320796E+001,1.2143999999327726E-003,1.5999997774353297E+001,9.9999711096196631E+000,1.3274401745305400E-006,4.8575999993278718E-001,-8.9026063885107168E-004,-1.1556128185819943E-002,0.0000000000000000E+000,1.6000000003320796E+001,0.0000000000000000E+000,4.8522504773291619E-001,2.8381726861210545E+001,4.8575999993278718E-001,5.3495219987098608E-004,2.5600000001992480E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999997774353297E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000003320796E+001,1.1920000000000000E-001
0.003,1.6000000003984518E+001,1.4572799998991662E-003,1.5999997329222976E+001,9.9999653315555701E+000,1.3271474781839381E-006,4.8575999991935337E-001,-8.9026129145973628E-004,-1.1556120202914926E-002,0.0000000000000000E+000,1.6000000003984518E+001,0.0000000000000000E+000,4.8511805714947887E-001,2.8381726861531849E+001,4.8575999991935337E-001,6.4194276987450394E-004,2.5600000002390711E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999997329222976E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000003984518E+001,1.1920000000000000E-001
0.0035,1.6000000004648090E+001,1.7001599998588430E-003,1.5999996884092331E+001,9.9999595534954686E+000,1.3268547817218804E-006,4.8575999990592272E-001,-8.9026194406770578E-004,-1.1556112220015515E-002,0.0000000000000000E+000,1.6000000004648090E+001,0.0000000000000000E+000,4.8501106652383846E-001,2.8381726861853078E+001,4.8575999990592272E-001,7.4893338208426030E-004,2.5600000002788857E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999996884092331E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000004648090E+001,1.1920000000000000E-001
0.004,1.6000000005311517E+001,1.9430399998118044E-003,1.5999996438961359E+001,9.9999537754393586E+000,1.3265620851408672E-006,4.8575999989249496E-001,-8.9026259667497815E-004,-1.1556104237121717E-002,0.0000000000000000E+000,1.6000000005311517E+001,0.0000000000000000E+000,4.8490407585471573E-001,2.8381726862174244E+001,4.8575999989249496E-001,8.5592403777923209E-004,2.5600000003186913E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999996438961359E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000005311517E+001,1.1920000000000000E-001
0.0045,1.6000000005974798E+001,2.1859199997580521E-003,1.5999995993830060E+001,9.9999479973872401E+000,1.3262693884408985E-006,4.8575999987907015E-001,-8.9026324928155338E-004,-1.1556096254233527E-002,0.0000000000000000E+000,1.6000000005974798E+001,0.0000000000000000E+000,4.8479708514211073E-001,2.8381726862495334E+001,4.8575999987907015E-001,9.6291473695941932E-004,2.5600000003584881E+001,1.0000000000000000E-004,5.0000000000000002E-005,1.0000000000000001E-005,1.0000000000000000E-004,0.0000000000000000E+000,1.6067263679999998E+006,4.1946308724832215E-003,6.0000000000000000E+001,4.0000000000000000E+001,1.6000000000000000E+001,1.0120000000000000E+003,4.1810000000000000E+003,4.0000000000000002E-001,4.0000000000000000E+000,5.0000000000000000E-001,1.0000000000000001E-001,1.2040000000000000E+000,3.0000000000000000E+002,1.6000000000000000E+001,1.0000000000000000E+001,6.0000000000000000E+001,1.3607100000000000E+003,8.3300000000000001E+000,3.3329999999999998E+001,2.9999999999999999E-002,1.1920000000000000E-001,1.3120000000000000E+003,1.5999995993830060E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.6000000005974798E+001,1.1920000000000000E-001
